subband_index,bit_allocation,subband_energy_db,masking_threshold_db
0.0,8.0,4.99443470199162,-7.742893764067471
1.0,13.0,4.938043821141669,-16.201622505484764
2.0,8.0,-0.9654543686846452,-14.537941676180978
3.0,0.0,-17.240320995629062,-15.394987511879233
4.0,12.0,4.981614415126527,-14.236310821597154
5.0,3.0,-8.548929279609048,-14.079223401253847
6.0,2.0,-4.423624226443352,-6.479413549305009
7.0,14.0,0.11287732595246659,-21.83692611607225
8.0,7.0,3.9080743585859463,-7.494132259066451
9.0,9.0,-1.114847005040226,-15.585380229037312
10.0,0.0,-19.543372020597374,-8.56103458866816
11.0,2.0,-7.756606770909854,-9.823523234976852
12.0,9.0,-1.9010836697340818,-16.094291014460516
13.0,7.0,-9.352278581374469,-20.854574202200812
14.0,10.0,-2.786636045618171,-19.55510087834433
15.0,7.0,-3.3425796458153463,-15.59615225198651
16.0,12.0,2.0947103741705133,-17.642588635122877
17.0,10.0,-1.9033425268301585,-18.032500742555946
18.0,4.0,-2.605364480884867,-8.980170284875237
19.0,4.0,-2.008862153879338,-9.271196093804408
20.0,8.0,-5.449264013362125,-18.205519388664058
21.0,0.0,-16.785301173997805,-10.841756346545388
22.0,0.0,-9.436088078522388,-8.841565299941562
23.0,2.0,-6.034957333817369,-7.5716715290724625
24.0,3.0,-3.902890520422409,-9.52736170571144
25.0,8.0,-2.3506114940890805,-15.88135063905234
26.0,6.0,2.963272505689212,-6.997149719308005
27.0,7.0,0.18381113847280642,-11.155330263181732
28.0,16.0,-2.9471265694155453,-37.379620138274774
29.0,10.0,-2.3171978136200004,-18.93526553862841
30.0,9.0,-0.5769388882492616,-15.471491325110204
31.0,8.0,3.515000383555125,-9.268539683969472
