Num_Bands,Bit_Depth,Total_Bits,Original_Mean_Bits,Original_Max_Bits,Original_Min_Bits,Original_Std_Bits,Optimized_Mean_Bits,Optimized_Max_Bits,Optimized_Min_Bits,Optimized_Std_Bits,Final_Mean_Bits,Final_Max_Bits,Final_Min_Bits,Final_Std_Bits,Mean_SNR,Min_SNR,Max_SNR
64,original,508,13.244844974280868,18,0,3.3714219776524454,3.9375,10,1,2.0832291640623697,7.9375,13,2,2.0757152381769517,-11.143477475210684,-129.83450340609735,49.122723924682425
64,24bit,508,13.244845783632538,18,0,3.3714191927220596,3.9375,10,1,2.0832291640623697,7.9375,13,2,2.0757152381769517,-11.143318118240073,-129.82891079503432,49.12272497152571
64,16bit,508,13.33083041976585,18,2,3.048934288219907,3.9375,10,1,2.0832291640623697,7.9375,13,2,2.0757152381769517,-10.569589371425245,-113.19215993396276,49.12298507164809
128,original,929,13.196599131905435,18,0,3.402802499964184,3.1484375,9,1,1.7548586292330646,7.2578125,13,2,1.8843354836238027,-18.57788265332,-135.08148535153936,46.31683470195473
128,24bit,929,13.196605684708352,18,0,3.4027779979984123,3.1484375,9,1,1.7548586292330646,7.2578125,13,2,1.8843354836238027,-18.57761325237612,-135.06614472360292,46.31683572924915
128,16bit,929,13.285125409539774,18,2,3.07429797843735,3.1484375,9,1,1.7548586292330646,7.2578125,13,2,1.8843354836238027,-17.96306392904064,-116.39574214282838,46.317092407828454
512,original,3031,13.151543947335075,18,0,3.4291291737385,1.3046875,8,1,0.7960703658243723,5.919921875,11,2,1.3122892664715673,-33.00656671645581,-144.1423104087834,22.414575454431528
512,24bit,3031,13.151546946893214,18,0,3.429117604678179,1.3046875,8,1,0.7960703658243723,5.919921875,11,2,1.3122892664715673,-33.00631377558726,-144.13261586122897,22.41457647889674
512,16bit,3031,13.241451439086005,18,2,3.098999289831329,1.3046875,8,1,0.7960703658243723,5.919921875,11,2,1.3122892664715673,-32.372338985066605,-123.01854285241667,22.414838866846694
